species,foragingRate,capture,movementRate,movement,minutes,sociality,gender,dayofseason,flocksizespecies,flocksizeind,indspecies,plot,plotMigrants,plotResidents
Cardelina canadensis,12.35294118,14,17.6470588,20,1.133333333,Flock,Male,39,20,26,1,a,a,
Cardelina canadensis,11.57894737,11,17.8947368,17,0.95,Flock,Female,9,14,21,2,a,a,
Cardelina canadensis,11.29,10,17.6470588,16,0.9,Flock,Male,40,21,27,,a,a,
Cardelina canadensis,10.89,15,17.8947368,25,1.383333333,Flock,Female,35,15,22,,a,a,
Cardelina canadensis,8,2,20,5,0.25,Flock,Male,6,11,22,2,a,a,
Cardelina canadensis,7,7,20,20,1,Flock,Male,7,12,23,,a,a,
Cardelina canadensis,6.206896552,6,27.9310345,27,0.966666667,Flock,Female,6,21,30,1,a,a,
Cardelina canadensis,5.2,10,27.9310345,54,1.933333333,Flock,Female,7,22,31,,a,a,
Cardelina canadensis,4.615384615,2,13.8461539,6,0.433333333,Flock,Female,40,15,20,1,a,a,
Cardelina canadensis,4,4,21,21,1,Flock,Female,80,4,5,,a,a,
Cardelina canadensis,3.947368421,15,28.9473684,110,3.8,Flock,Male,81,7,8,1,a,a,
Cardelina canadensis,3.703703704,5,40,54,1.35,Flock,Female,35,32,55,1,a,a,
Cardelina canadensis,3.608695652,4,16.6304348,19,1.116666667,Flock,Female,5,13,19,,a,a,
Cardelina canadensis,3.53,5,13.8461539,20,1.416666667,Flock,Female,40,16,21,,a,a,
Cardelina canadensis,3.5,3,30.3125,26,0.866666667,Flock,Male,57,4,3,,a,a,
Cardelina canadensis,3.333333333,3,25,23,0.9,Flock,Male,13,14,21,1,a,a,
Cardelina canadensis,3.333333333,2,27.7777778,17,0.6,Flock,Male,9,4,6,2,a,a,
Cardelina canadensis,3.333333333,2,28.3333333,17,0.6,Flock,Male,35,9,15,2,a,a,
Cardelina canadensis,3.20855615,10,26.631016,83,3.116666667,Flock,Female,4,14,18,1,a,a,
Cardelina canadensis,3.157894737,6,16.3157895,31,1.9,Flock,Male,2,4,4,1,a,a,
Cardelina canadensis,3.142857143,6,24.6428571,47,1.916666667,Flock,Male,81,14,22,,a,a,
Cardelina canadensis,3.093023256,2,30,20,0.65,Flock,Female,16,5,6,,a,a,
Cardelina canadensis,3.076923077,4,25.3846154,33,1.3,Flock,Male,12,27,37,1,a,a,
Cardelina canadensis,3,1,21,7,0.333333333,Flock,Female,80,5,5,1,a,a,
Cardelina canadensis,2.73,4,28.9473684,42,1.466666667,Flock,Male,81,8,9,,a,a,
Cardelina canadensis,2.705882353,3,17.6470588,20,1.116666667,Flock,Male,15,12,18,,a,a,
Cardelina canadensis,2.7003,4,40,59,1.483333333,Flock,Female,36,33,54,,a,a,
Cardelina canadensis,2.69,4,25.3846154,38,1.5,Flock,Male,9,26,37,,a,a,
Cardelina canadensis,2.647058824,3,17.6470588,20,1.133333333,Flock,Male,14,13,19,1,a,a,
Cardelina canadensis,2.608695652,8,16.6304348,51,3.066666667,Flock,Female,4,14,18,1,a,a,
Cardelina canadensis,2.5,8,30.3125,97,3.2,Flock,Male,82,3,3,1,a,a,
Cardelina canadensis,2.33,3,25,33,1.3,Flock,Female,40,15,22,,a,a,
Cardelina canadensis,2.33,2,27.7777778,24,0.866666667,Flock,Male,14,5,7,,a,a,
Cardelina canadensis,2.33,3,28.3333333,37,1.3,Flock,Male,18,10,18,,a,a,
Cardelina canadensis,2.2,2,26.631016,24,0.916666667,Flock,Female,5,13,19,,a,a,
Cardelina canadensis,2.15,2,16.3157895,15,0.933333333,Flock,Male,3,4,5,,a,a,
Cardelina canadensis,2.142857143,2,24.6428571,23,0.933333333,Flock,Male,80,13,21,2,a,a,
Cardelina canadensis,2.111111111,2,37.7777778,36,0.95,Flock,Male,33,23,30,,a,a,
Cardelina canadensis,2.093023256,3,30,43,1.433333333,Flock,Female,80,5,6,1,a,a,
Cardelina canadensis,1.111111111,1,37.7777778,34,0.9,Flock,Male,32,22,31,2,a,a,
Cardelina canadensis,0.52173913,1,16.6956522,32,1.916666667,Flock,Female,1,7,7,1,a,a,
Cardelina canadensis,0,0,29.1891892,38,1.3,Flock,Male,90,30,36,1,a,a,
Hemithraupis guira,12.4137931,11,14.4827586,14,0.966666667,Flock,Male,10,9,12,1,c,,c
Hemithraupis guira,12.4137931,12,8.2758621,8,0.966666667,Flock,Female,31,26,37,2,c,,c
Hemithraupis guira,9.75,13,17.25,23,1.333333333,Flock,Male,26,25,35,3,c,,c
Hemithraupis guira,6.818181818,5,25.9090909,19,0.733333333,Flock,Female,35,32,55,1,c,,c
Hemithraupis guira,6.428571429,2,19.2857143,9,0.466666667,Flock,Male,36,15,27,3,c,,c
Hemithraupis guira,6.315789474,4,22.1052632,14,0.633333333,Flock,Male,23,8,13,1,c,,c
Hemithraupis guira,6,6,15,15,1,Flock,Male,35,33,53,1,c,,c
Hemithraupis guira,5.753424658,7,21.369863,26,1.216666667,Flock,Female,80,,,,c,,c
Hemithraupis guira,5.263157895,2,13.6842105,13,0.95,Flock,Female,30,14,23,4,c,,c
Hemithraupis guira,5.234899329,13,26.5771812,66,2.483333333,Flock,Male,30,14,23,4,c,,c
Hemithraupis guira,5.070422535,5,14.3661972,17,1.183333333,Flock,Female,12,18,25,3,c,,c
Hemithraupis guira,4.8,2,14.4,6,0.416666667,Flock,Male,5,11,22,2,c,,c
Hemithraupis guira,4.516129032,6,18.0645161,28,1.55,Flock,Female,26,13,18,3,c,,c
Hemithraupis guira,4.186046512,3,16.7441861,12,0.716666667,Flock,Male,10,9,12,1,c,,c
Hemithraupis guira,4.137931034,4,14.4827586,14,0.966666667,Flock,Male,9,6,9,1,c,,c
Hemithraupis guira,4.033613445,8,12.1008403,24,1.983333333,Flock,Male,80,,,,c,,c
Hemithraupis guira,4,1,40,10,0.25,Flock,Female,33,10,16,2,c,,c
Hemithraupis guira,4,3,9.3333333,7,0.75,Flock,Male,25,13,24,3,c,,c
Hemithraupis guira,3.6,3,22.8,19,0.833333333,Flock,Female,13,13,19,2,c,,c
Hemithraupis guira,3.157894737,0,12.631579,4,0.316666667,Flock,Male,9,15,21,2,c,,c
Hemithraupis guira,3,2,13.5,9,0.666666667,Flock,Male,25,13,24,3,c,,c
Hemithraupis guira,2.666666667,1,25.3333333,19,0.75,Flock,Male,22,16,23,3,c,,c
Hemithraupis guira,2.608695652,2,18.2608696,14,0.766666667,Flock,Male,27,15,22,4,c,,c
Hemithraupis guira,2.553191489,1,8.9361702,7,0.783333333,Flock,Female,33,5,5,1,c,,c
Hemithraupis guira,2.448979592,2,15.9183674,13,0.816666667,Flock,Male,5,11,22,2,c,,c
