Numero de bandada,Piaya cayana,Eubucco bourcierii,Picumnus olivaceus,Picumnus granadensis endemic,Melanerpes formicivorus,Melanerpes rubricapillus,Picoides fumigatus,Veniliornis kirkii,Colaptes rubiginosus,Colaptes punctigula,Dryocopus lineatus,Sinallaxis albescens,Cranioleuca erythrops,Xenops minutus,Xenops rutilans,Dendrocincla fuliginosa,Lepidocolaptes souleyetii,Taraba major,Thamnophilus multistriatus,Thamnophilus atrinucha,Phyllomyias griseiceps,Phyllomyias nigrocapillus,Tyrannulus elatus,Phaeomyias murina,Myiopagis viridicata,Elaenia flavogaster,Camptostoma obsoletum,Zimmerius chrysops,Phylloscartes ophthalmicus,Mionectes striaticollis,Mionectes oleagineus,Leptopogon superciliaris,Poecilotriccus sylvia,Todirostrum cinereum,Tolmomyias sulphurescens,Myiozetetes cayanensis,Pitangus sulphuratus,Myiodynastes chrysocephalus,Myiodynastes maculatus,Tyrannus melancholicus,Myiarchus apicalis ,Myiarchus cephalotes ,Pachyramphus versicolor,Pachyramphus rufus,Pachyramphus polychopterus,vireo leucophrys resident,Vireo olivaceus pob residen,Hylophilus semibrunneus,Polioptila plumbea,Turdus grayi,Turdus ignobilis,Tachyphonus rufus,Ramphocelus dimidiatus,Ramphocelus flammigerus,Thraupis episcopus,Thraupis palmarum,Tangara heinei,Tangara vitriolina,Tangara cyanicollis,Tangara gyrola,Tangara arthus,Dacnis hartlaubi,Chlorophanes spiza,Hemithraupis guira,Coereba flaveola,Tiaris olivaceus,Tiaris bicolor,Tiaris obscurus,Saltator maximus,Saltator coerulescens,Saltator striatipectus,volatinia jacarina,Sporophila nigricollis,Sporophila schistacea ,Atlapetes albinucha,Parula pitiayumi,Myioborus miniatus,Basileuterus culicivorus,Icterus chrysater,Icterus nigrogularis CF,Euphonia laniirostris,Euphonia cyanocephala,Euphonia xanthogaster,Chlorophonia cyanea,Catharus minimus,Catharus ustulatus,Piranga flava resident,Piranga rubra,Piranga olivacea migrant,Pheucticus ludovicianus,Vermivora chysoptera,Leiothlypis (vermivora) peregrina,Dendroica petechia,Dendroica striata CF Fredonia,Dendrioca castanea,Dendroica fusca,Dendroica cerulea,Dendroica virens,Setophaga ruticilla,Mniotilta varia,Protonotaria citrea,Ophorornis philadelphia,Wilsonia canadensis,Icterus galbula,Empidonax virescens,Empidonax traillii,Contopus cooperi,Contopus  sordidulus,Contopus virens,Myiodynastes maculatus,Myiarchus crinitus ,Myiarchus tuberculifer ,Vireo flavifrons,vireo flavoviridis,Contopus sp,,Total especies ,Total individuos,resident_ind,migrant_ind,resident_species,migrant_species,date,date_1,Sitio 
B001 ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,18,9,9,6,5,2011-10-01,10,Jerico
B002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,5,4,4,4,2011-10-01,10,Jerico
B003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,9,5,9,3,2011-10-01,10,Jerico
B004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,12,11,8,6,2011-10-01,10,Jerico 
B005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,12,6,12,4,2011-10-01,10,Jerico
B006 o 004 a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,6,4,5,4,2011-11-01,11,Jerico
B007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,4,0,2011-11-01,11,Jerico
B008,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,14,9,5,7,5,2011-11-01,11,Jerico
B009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,1,2,2011-11-01,11,Jerico
B010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,12,7,5,7,4,2011-11-01,11,Jerico
