Estacion,Numero_Libreta,Pagina,A–o,Familia,Especie,Numero_del_Nido,N,S,W,Huevo_o_Polluelo,Elevacion,Fecha_de_encuentro,polluelo,Ultima_fecha_de_actividad,Fecha_de_inactividad,Dias_Totales,Estado,Tipo,Largo_(mm),Ancho_(mm),Espesor_(mm),Profundidad_1_(mm),Profundidad_2_(mm),Largo_(mm),Ancho_(mm),Alto_(mm),Altura_sobre_el_suelo_(cm),Total_(g),Capa_1_(g),Capa_2_(g),Capa_3_(g),Capa_4_(g),Material_extra,Numero,Largo_(mm),Ancho_(mm),Peso_(g),Tama–o_de_Nidada,Fecha,Polluelos,Individuo,Masa_(g),Tarso_(mm),Ala_(mm),Pico_(mm),Cola_(mm),T_inicial,T_final,T_ambiente,Todos_los_huevos_eclosionaron,Todos_los_polluelos_salieron_del_nido,Camara_trampa,Data_logger,Notas
Pantiacolla,2,75,2010,Thamnophilidae,Isleria_hauxwelli,P04_GVC10,NA,12¡39'08.4'',71¡13'36.9'',Huevo,421,07-Oct-10,,x,x,x,Abandonado,Copa,45.2,51.3,8.8,37,NA,65.6,68.8,40.3,30,2.7,2.7,x,x,x,x,1,18.3,12.8,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,Si,Si,
Pantiacolla,2,75,2010,Thamnophilidae,Isleria_hauxwelli,P04_GVC10,NA,12¡39'08.4'',71¡13'36.9'',Huevo,421,07-Oct-10,,x,x,x,Abandonado,Copa,45.2,51.3,8.8,37,NA,65.6,68.8,40.3,30,2.7,2.7,x,x,x,x,2,17.9,12.8,1.55,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,Si,Si,
Pantiacolla,3,78,2010,Thamnophilidae,Isleria_hauxwelli,P24_JAEC10,NA,12¡39'17.5'',71¡13'55.3'',Huevo,427,26-Oct-10,,05-Nov-10,06-Nov-10,10,Depredado_total,Copa,49.7,48.6,15.4,33.8,NA,76.8,70.2,37.7,20,2.28,2.28,x,x,x,x,A,19.4,12.8,1.81,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,
Pantiacolla,3,78,2010,Thamnophilidae,Isleria_hauxwelli,P24_JAEC10,NA,12¡39'17.5'',71¡13'55.3'',Huevo,427,26-Oct-10,,05-Nov-10,06-Nov-10,10,Depredado_total,Copa,49.7,48.6,15.4,33.8,NA,76.8,70.2,37.7,20,2.28,2.28,x,x,x,x,B,19.1,12.6,1.77,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,NA,12¡38'57.6'',71¡13'52.5'',Polluelo,386,x,,x,x,x,x,Copa,55,53.3,14.2,39,NA,80.7,66.9,56.7,40,3.11,2.21,0.9,NA,NA,NA,NA,NA,NA,NA,2,07-Sep-11,2,Sweet,6.67,15.7,26.6,7.4,x,32.3,31.05,27.87,NA,Si,Si,NA,
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,NA,12¡38'57.6'',71¡13'52.5'',Polluelo,386,x,,x,x,x,x,Copa,55,53.3,14.2,39,NA,80.7,66.9,56.7,40,3.11,2.21,0.9,NA,NA,NA,NA,NA,NA,NA,2,07-Sep-11,1,Derec,8,16.6,27,7.5,x,32.5,31.9,27.87,NA,Si,Si,NA,
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,NA,12¡38'57.6'',71¡13'52.5'',Polluelo,386,x,,x,x,x,x,Copa,55,53.3,14.2,39,NA,80.7,66.9,56.7,40,3.11,2.21,0.9,NA,NA,NA,NA,NA,NA,NA,2,02-Sep-11,1,Derec,3.21,10,6.9,4.2,x,34.3,33.2,25.86,NA,Si,Si,NA,
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,NA,12¡38'57.6'',71¡13'52.5'',Polluelo,386,x,,x,x,x,x,Copa,55,53.3,14.2,39,NA,80.7,66.9,56.7,40,3.11,2.21,0.9,NA,NA,NA,NA,NA,NA,NA,2,02-Sep-11,2,Sweet,2.79,9,7.3,4.6,x,34.38,33.6,25.86,NA,Si,Si,NA,
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,NA,12¡38'57.6'',71¡13'52.5'',Polluelo,386,x,,x,x,x,x,Copa,55,53.3,14.2,39,NA,80.7,66.9,56.7,40,3.11,2.21,0.9,NA,NA,NA,NA,NA,NA,NA,2,04-Sep-11,2,Sweet,4.53,11.7,15.1,5.4,x,35.5,34.8,27.77,NA,Si,Si,NA,
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,NA,12¡38'57.6'',71¡13'52.5'',Polluelo,386,x,,x,x,x,x,Copa,55,53.3,14.2,39,NA,80.7,66.9,56.7,40,3.11,2.21,0.9,NA,NA,NA,NA,NA,NA,NA,2,04-Sep-11,1,Derec,4.97,12.2,15,5.8,x,35.95,34.94,27.77,NA,Si,Si,NA,
