Station,Book_number,Pag,Year,Family,Species,Nest number,Stage,Elevation,Date,True_date,Nestling,Ind,Individual,measurements,type,mass,tarsus,wing,beak,tail,T_inicial,T_final,T_ambiente,Successful ,Camera_trap
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,Polluelo,386,31-Aug-11,1,1,Derec,A,6.9,tarsus,1.56,6.9,5.8,3.6,,,,,Si,Si
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,Polluelo,386,31-Aug-11,1,2,Sweet,B,7,tarsus,1.31,7,6.1,4.2,,,,,Si,Si
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,Polluelo,386,01-Sep-11,2,1,Derec,A,10,tarsus,3.21,10,6.9,4.2,,34.3,33.2,25.86,Si,Si
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,Polluelo,386,01-Sep-11,2,2,Sweet,B,9,tarsus,2.79,9,7.3,4.6,,34.38,33.6,25.86,Si,Si
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,Polluelo,386,02-Sep-11,3,1,Derec,A,11,tarsus,4.17,11,8.9,5.3,,,,,Si,Si
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,Polluelo,386,02-Sep-11,3,2,Sweet,B,9.5,tarsus,3.78,9.5,8,5.2,,,,,Si,Si
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,Polluelo,386,03-Sep-11,4,2,Sweet,B,11.7,tarsus,4.53,11.7,15.1,5.4,,35.5,34.8,27.77,Si,Si
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,Polluelo,386,03-Sep-11,4,1,Derec,A,12.2,tarsus,4.97,12.2,15,5.8,,35.95,34.94,27.77,Si,Si
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,Polluelo,386,04-Sep-11,5,1,Derec,A,13.9,tarsus,6.26,13.9,20,6,,37.2,34.49,26.52,Si,Si
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,Polluelo,386,04-Sep-11,5,2,Sweet,B,13.8,tarsus,5.85,13.8,18,6.1,,37.48,35.15,26.52,Si,Si
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,Polluelo,386,06-Sep-11,7,2,Sweet,B,15.7,tarsus,6.67,15.7,26.6,7.4,,32.3,31.05,27.87,Si,Si
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,Polluelo,386,06-Sep-11,7,1,Derec,A,16.6,tarsus,8,16.6,27,7.5,,32.5,31.9,27.87,Si,Si
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,Polluelo,386,07-Sep-11,8,2,Sweet,B,17.1,tarsus,7.57,17.1,29.6,8.1,,37.7,36.63,25.06,Si,Si
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,Polluelo,386,07-Sep-11,8,1,Derec,A,17.8,tarsus,8.26,17.8,30.9,7,,38.81,37.16,25.06,Si,Si
