specie,nest_id,folder,photo,viaje,date,true_inc_day,start_time,final_time,duration,duration_min,duration_h,sex,event,nocturnal_incubation,nocturnal_incubation,,,note,note1
Isleria hauxwelli,P02_IGZ14,Huevos 29-Ago,0001-0015,1,29-Aug-14,17,7:30:00,7:34:00,0:04:00,4,0.066666667,,off,N,,,,inicio de carpeta,
Isleria hauxwelli,P02_IGZ14,Huevos 29-Ago,0015-0026,2,29-Aug-14,17,7:34:00,7:35:00,0:01:00,1,0.016666667,f,visita,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-Ago,0026-0058,3,29-Aug-14,17,7:35:00,8:07:00,0:32:00,32,0.533333333,f,on,N,,,,fin de carpeta,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0004-0029,1,29-Aug-14,17,8:18:19,8:27:00,0:08:41,8.41,0.140166667,,off,N,,,,inicio de carpeta,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0029-0043,,29-Aug-14,17,8:27:00,8:41:00,0:14:00,14,0.233333333,f,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0043-0066,2,29-Aug-14,17,8:41:00,9:04:00,0:23:00,23,0.383333333,f,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0066-0079,,29-Aug-14,17,9:04:00,9:07:00,0:03:00,3,0.05,f,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0066-0069,,29-Aug-14,17,9:04:00,9:05:18,0:01:18,1.3,0.021666667,m,visita,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0078-0079,,29-Aug-14,17,9:06:00,9:07:00,0:01:00,1,0.016666667,m,visita,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0079-0080,3,29-Aug-14,17,9:07:00,9:08:00,0:01:00,1,0.016666667,f,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0080-0188,,29-Aug-14,17,9:08:00,10:56:00,1:48:00,1.8,0.03,m,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0188-0189,2,29-Aug-14,17,10:56:00,10:57:00,0:01:00,1,0.016666667,m,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0189-0412,,29-Aug-14,17,10:57:00,14:30:00,3:33:00,213,3.55,f,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0412-0415,4,29-Aug-14,17,14:30:00,14:33:00,0:03:00,3,0.05,f,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0412-0415,,29-Aug-14,17,14:30:00,14:33:00,0:03:00,3,0.05,m,visita,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0415-0425,,29-Aug-14,17,14:33:00,14:43:00,0:10:00,10,0.166666667,m,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0425-0438,3,29-Aug-14,17,14:43:00,14:56:00,0:13:00,13,0.216666667,m,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0438-0588,,29-Aug-14,17,14:56:00,16:56:00,2:00:00,120,2,m,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0588-0589,4,29-Aug-14,17,16:56:00,16:57:00,0:01:00,1,0.016666667,m,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0588-0590,,29-Aug-14,17,16:56:00,16:58:00,0:02:00,2,0.033333333,f,visita,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0590-1365,,29-Aug-14,17,16:58:00,0:00:00,7:02:00,422,7.033333333,f,on,Y,,,,incubación nocturna,nocturnal_incubation
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,0590-1366,,30-Aug-14,18,0:00:00,5:54:00,5:54:00,354,5.9,f,on,Y,11.96666667,,,incubación nocturna,nocturnal_incubation
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,1366-1382,1,30-Aug-14,18,5:54:00,6:10:00,0:16:00,16,0.266666667,f,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,1382-1395,,30-Aug-14,18,6:10:00,6:23:00,0:13:00,13,0.216666667,m,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,1395-1400,1,30-Aug-14,18,6:23:00,6:28:00,0:05:00,5,0.083333333,m,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,1401-1411,,30-Aug-14,18,6:28:03,6:29:00,0:00:57,0.95,0.015833333,m,visita,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,1411-1431,,30-Aug-14,18,6:29:00,6:50:00,0:21:00,21,0.35,m,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,1432-1444,2,30-Aug-14,18,6:50:00,6:52:00,0:02:00,2,0.033333333,m,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,1432-1444,,30-Aug-14,18,6:50:00,6:52:00,0:02:00,2,0.033333333,f,visita,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,1444-1525,,30-Aug-14,18,6:52:00,8:13:00,1:21:00,81,1.35,f,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,1525-1526,2,30-Aug-14,18,8:13:00,8:13:36,0:00:36,36,0.6,f,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,1526-1537,,30-Aug-14,18,8:13:36,8:15:00,0:01:24,1.4,0.023333333,m,visita,N,,,,visit with the female in the backgroung (1527-1536),
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,1537-1684,,30-Aug-14,18,8:15:00,10:42:00,2:27:00,147,2.45,m,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,1684-1685,3,30-Aug-14,18,10:42:00,10:43:00,0:01:00,1,0.016666667,m,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,1685-1897,,30-Aug-14,18,10:43:00,14:15:00,3:32:00,212,3.533333333,f,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,1897-1908,3,30-Aug-14,18,14:15:00,14:16:00,0:01:00,1,0.016666667,f,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,1898-1908,,30-Aug-14,18,14:15:04,14:16:00,0:00:56,0.93,0.0155,m,visita,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,1908-2073,,30-Aug-14,18,14:16:00,17:01:00,2:45:00,165,2.75,m,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,2073-2080,4,30-Aug-14,18,17:01:00,17:08:00,0:07:00,7,0.116666667,m,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,2080-2125,,30-Aug-14,18,17:08:00,17:53:00,0:45:00,45,0.75,f,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,2125-2128,4,30-Aug-14,18,17:53:00,17:56:00,0:03:00,3,0.05,f,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,2128-2846,,30-Aug-14,18,17:56:00,0:00:00,6:04:00,364,6.066666667,f,on,Y,,,,incubación nocturna,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,2128-2846,,31-Aug-14,19,0:00:00,5:54:00,5:54:00,354,5.9,f,on,Y,13.13333333,,,incubación nocturna,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,2846-2857,1,31-Aug-14,19,5:54:00,6:05:00,0:11:00,11,0.183333333,f,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,2857-2895,,31-Aug-14,19,6:05:00,6:43:00,0:38:00,38,0.633333333,m,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,2857-2895,1,31-Aug-14,19,6:43:00,6:44:00,0:01:00,1,0.016666667,m,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,2857-2895,,31-Aug-14,19,6:43:00,6:44:00,0:01:00,1,0.016666667,f,visita,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,2895-2999,,31-Aug-14,19,6:44:00,8:17:00,1:33:00,93,1.55,f,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,2999-3000,2,31-Aug-14,19,8:17:00,8:18:00,0:01:00,1,0.016666667,f,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 29-31 Ago,3000-3002,,31-Aug-14,19,8:18:00,8:20:00,0:02:00,2,0.033333333,m,on,N,,,,fin de carpeta,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,0033-0050,1,31-Aug-14,19,8:36:43,8:46:00,0:09:17,9.28,0.154666667,,off,N,,,,inicio de carpeta,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,0050-0078,,31-Aug-14,19,8:46:00,9:14:00,0:28:00,28,0.466666667,m,visita,N,,,,,
