,true_inc_day,nest_id,code_day,code_night,stage_eggs,date,inc_daily_min,sex,sex_night,inc_daily_h,inc_daynight_min,inc_daynight_h,percentage_attentiveness_nigh_included,percentage_nest attentivess
1,2,P02_AJRC13,a,a,1,09-Sep-13,62,female,f,1.033333333,816,13.6,56.66666667,
1,2,P02_AJRC13,b,b,1,09-Sep-13,96,male,m,1.6,96,1.6,6.666666667,
1,2,P02_AJRC13,c,NA,1,09-Sep-13,158,total_f&m,NA,2.633333333,912,15.2,63.33333333,21.94444444
2,3,P02_AJRC13,a,a,1,10-Sep-13,129,female,f,2.15,874,14.56666667,60.69444446,
2,3,P02_AJRC13,b,b,1,10-Sep-13,134,male,m,2.233333333,134,2.23333333,9.305555542,
2,3,P02_AJRC13,c,NA,1,10-Sep-13,263,total_f&m,NA,4.383333333,1008,16.8,70,36.52777778
3,4,P02_AJRC13,a,a,1,11-Sep-13,76,female,f,1.266666667,824,13.73333333,57.22222221,
3,4,P02_AJRC13,b,b,1,11-Sep-13,193,male,m,3.216666667,193,3.21666667,13.40277779,
3,4,P02_AJRC13,c,NA,1,11-Sep-13,269,total_f&m,NA,4.483333333,1017,16.95,70.625,37.36111111
4,5,P02_AJRC13,a,a,1,12-Sep-13,68.9,female,f,1.148333333,817,13.615,56.72916667,
4,5,P02_AJRC13,b,b,1,12-Sep-13,208,male,m,3.466666667,208,3.46666667,14.44444446,
4,5,P02_AJRC13,c,NA,1,12-Sep-13,276.9,total_f&m,NA,4.615,1025,17.08166667,71.17361113,38.45833333
5,7,P02_AJRC13,a,a,1,14-Sep-13,131,female,f,2.183333333,898,14.96666667,62.36111113,
5,7,P02_AJRC13,b,b,1,14-Sep-13,209,male,m,3.483333333,208,3.48333333,14.51388888,
5,7,P02_AJRC13,c,NA,1,14-Sep-13,340,total_f&m,NA,5.666666667,1107,18.45,76.875,47.22222223
6,8,P02_AJRC13,d,c,2,15-Sep-13,139,female,f,2.316666667,902,15.03333333,62.63888888,
6,8,P02_AJRC13,e,d,2,15-Sep-13,175,male,m,2.916666667,175,2.91666667,12.15277779,
6,8,P02_AJRC13,f,NA,2,15-Sep-13,314,total_f&m,NA,5.233333333,1077,17.95,74.79166667,43.61111111
7,9,P02_AJRC13,d,c,2,16-Sep-13,114,female,f,1.9,649,10.81666667,45.06944446,
7,9,P02_AJRC13,e,d,2,16-Sep-13,193,male,m,3.216666667,193,3.21666666,13.40277775,
7,9,P02_AJRC13,f,NA,2,16-Sep-13,307,total_f&m,NA,5.116666667,842,14.03333333,58.47222221,42.63888889
8,10,P02_AJRC13,d,c,2,17-Sep-13,135,female,f,2.25,935,15.58166667,64.92361113,
8,10,P02_AJRC13,e,d,2,17-Sep-13,262,male,m,4.366666667,262,4.36666666,18.19444442,
8,10,P02_AJRC13,f,NA,2,17-Sep-13,397,total_f&m,NA,6.616666667,1197,19.94833333,83.11805554,55.13888889
9,11,P02_AJRC13,d,c,2,18-Sep-13,104,female,f,1.733333333,881,14.68333333,61.18055554,
9,11,P02_AJRC13,e,d,2,18-Sep-13,357,male,m,5.95,357,5.95,24.79166667,
9,11,P02_AJRC13,f,NA,2,18-Sep-13,461,total_f&m,NA,7.683333333,1238,20.63333333,85.97222221,64.02777778
10,12,P02_AJRC13,d,c,2,19-Sep-13,260,female,f,4.333333333,1013,16.88333333,70.34722221,
10,12,P02_AJRC13,e,d,2,19-Sep-13,276,male,m,4.6,276,4.6,19.16666667,
10,12,P02_AJRC13,f,NA,2,19-Sep-13,536,total_f&m,NA,8.933333333,1289,21.48333333,89.51388888,74.44444444
11,13,P02_AJRC13,d,c,2,20-Sep-13,102,female,f,1.7,878,14.63333333,60.97222221,
11,13,P02_AJRC13,e,d,2,20-Sep-13,247,male,m,4.116666667,247,4.11666667,17.15277779,
