specie,nest_id,folder,photo,viaje,date,hour,hour_standard,start_time,final_time,duration,duration_min,duration_h,sex,event,nocturnal_incubation,true_day,note,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,2046-2832,,02-Sep-14,,,0:00:00,5:58:00,5:58:00,358,5.966666667,f,on,Y,1,incubación nocturna,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,2832-2867,1,02-Sep-14,,,5:58:00,6:33:00,0:35:00,35,0.583333333,f,off,N,1,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,2867-2953,,02-Sep-14,,,6:33:00,7:59:00,1:26:00,86,1.433333333,f,on,N,1,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,2953-2954,2,02-Sep-14,,,7:59:00,8:00:00,0:01:00,1,0.016666667,f,off,N,1,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,2954-3074,,02-Sep-14,,,8:00:00,10:00:00,2:00:00,120,2,m,on,N,1,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3074-3077,1,02-Sep-14,,,10:00:00,10:03:00,0:03:00,3,0.05,m,off,N,1,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3075-3077,,02-Sep-14,,,10:01:00,10:03:00,0:02:00,2,0.033333333,f,visita,N,1,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3077-3280,,02-Sep-14,,,10:03:00,13:26:00,3:23:00,203,3.383333333,f,on,N,1,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3280-3288,3,02-Sep-14,,,13:26:00,13:34:00,0:08:00,8,0.133333333,f,off,N,1,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3282-3288,,02-Sep-14,,,13:28:00,13:34:00,0:06:00,6,0.1,m,visita,N,1,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3288-3299,,02-Sep-14,,,13:34:00,13:45:00,0:11:00,11,0.183333333,m,on,N,1,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3299-3324,2,02-Sep-14,,,13:45:00,14:00:00,0:15:00,15,0.25,m,off,N,1,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3309-3324,,02-Sep-14,,,13:55:00,14:00:00,0:05:00,5,0.083333333,m,visita,N,1,,CREO que aquí empiezan a eclosionar los polluelos,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3324-3450,,02-Sep-14,,,14:00:00,16:06:00,2:06:00,126,2.1,m,brooding,N,1,brooding,"Durante este tiempo de incupación el adulto estuvo muy inquieto, permanece en el nido pero se levante por segundos en repetidas ocasiones",
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,created a cero,,02-Sep-14,,,,,,0,0,f,brooding,N,1,brooding,"Durante este tiempo de incupación el adulto estuvo muy inquieto, permanece en el nido pero se levante por segundos en repetidas ocasiones",
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3450-3459,3,02-Sep-14,,,16:06:00,16:15:00,0:09:00,9,0.15,m,off,N,1,,"Se ve movimientos en nido, por eso creo que ya eclosionaron los polluelos a pesar de que en la historia dice que nacieron el 3 de sep",
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3459-3496,,02-Sep-14,,,16:15:00,16:52:00,0:37:00,37,0.616666667,m,brooding,N,1,brooding,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3496-3507,4,02-Sep-14,,,16:52:00,17:03:00,0:11:00,11,0.183333333,m,off,N,1,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3499-3504,4,02-Sep-14,,1,16:55:00,17:00:00,0:05:00,5,0.083333333,f,Feeding,N,1,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3504-3507,,02-Sep-14,,2,17:00:00,17:03:00,0:03:00,3,0.05,f,visita,N,1,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3507-4271,,02-Sep-14,,,17:03:00,0:00:00,6:57:00,417,6.95,f,on,Y,1,incubación nocturna,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3507-4271,,03-Sep-14,,3,0:00:00,5:47:00,5:47:00,347,5.783333333,f,on,Y,2,incubación nocturna,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4271-4272,1,03-Sep-14,,1,5:47:00,5:48:00,0:01:00,1,0.016666667,f,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4272-4273,1,03-Sep-14,6,1,5:48:00,5:49:00,0:01:00,1,0.016666667,m,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4273-4281,,03-Sep-14,,1,5:49:00,5:57:00,0:08:00,8,0.133333333,m ,brooding,N,2,,10.86666667,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4281-4288,2,03-Sep-14,,1,5:57:00,6:04:00,0:07:00,7,0.116666667,m,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4288-4292,,03-Sep-14,,2,6:04:00,6:08:00,0:04:00,4,0.066666667,f,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4292-4293,2,03-Sep-14,,2,6:08:00,6:09:00,0:01:00,1,0.016666667,f,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4293-4298,,03-Sep-14,,2,6:09:00,6:14:00,0:05:00,5,0.083333333,m,on,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4298-4300,3,03-Sep-14,7,2,6:14:00,6:16:00,0:02:00,2,0.033333333,f,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4300-4301,,03-Sep-14,,2,6:16:00,6:17:00,0:01:00,1,0.016666667,f,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4301-4320,4,03-Sep-14,,2,6:17:00,6:36:00,0:19:00,19,0.316666667,f,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4309-4311,5,03-Sep-14,7,2,6:24:00,6:26:00,0:02:00,2,0.033333333,u,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4320-4342,,03-Sep-14,,2,6:36:00,6:58:00,0:22:00,22,0.366666667,f,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4342-4343,6,03-Sep-14,,2,6:58:00,6:59:00,0:01:00,1,0.016666667,f,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4343-4355,,03-Sep-14,,2,6:59:00,7:11:00,0:12:00,12,0.2,m,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4355-4367,3,03-Sep-14,,3,7:11:00,7:13:00,0:02:00,2,0.033333333,m,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4355-4367,,03-Sep-14,,3,7:11:00,7:13:00,0:02:00,2,0.033333333,m,visita,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4367-4415,,03-Sep-14,,3,7:13:00,8:01:00,0:48:00,48,0.8,m,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4415-4417,7,03-Sep-14,9,4,8:01:00,8:03:00,0:02:00,2,0.033333333,f,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4417-4425,,03-Sep-14,,4,8:03:00,8:11:00,0:08:00,8,0.133333333,f,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4425-4426,8,03-Sep-14,9,4,8:11:00,8:12:00,0:01:00,1,0.016666667,u,Feeding,N,2,,,
