Estacion,Trocha,habitat,Numero_Libreta,Pagina,A–o,Familia,Especie,Numero_del_Nido,N,S,W,Huevo_o_Polluelo,Elevacion,Estado,Tipo,Largo_(mm),Ancho_(mm),Espesor_(mm),Profundidad_1_(mm),Largo_(mm),Ancho_(mm),Alto_(mm),Altura_sobre_el_suelo_(cm),Total_(g),Capa_1_(g),Capa_2_(g),Capa_3_(g),Capa_4_(g),Material_extra,Numero,Largo_(mm),Ancho_(mm),Peso_(g),Tama–o_de_Nidada,Fecha,Polluelos,Individuo,Masa_(g),Tarso_(mm),Ala_(mm),Pico_(mm),Cola_(mm),T_inicial,T_final,T_ambiente,Todos_los_huevos_eclosionaron,Todos_los_polluelos_salieron_del_nido,Camara_trampa,Data_logger,Notas
Pantiacolla,Capibara,floodplain,2,75,2010,Thamnophilidae,Isleria_hauxwelli,P04_GVC10,NA,12¡39'08.4'',71¡13'36.9'',Huevo,421,Abandonado,Copa,45.2,51.3,8.8,37,65.6,68.8,40.3,30,2.7,2.7,x,x,x,x,1,18.3,12.8,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,Si,Si,
Pantiacolla,Capibara,floodplain,3,78,2010,Thamnophilidae,Isleria_hauxwelli,P24_JAEC10,NA,12¡39'17.5'',71¡13'55.3'',Huevo,427,Depredado_total,Copa,49.7,48.6,15.4,33.8,76.8,70.2,37.7,20,2.28,2.28,x,x,x,x,B,19.1,12.6,1.77,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,
Pantiacolla,Capibara,floodplain,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,NA,12¡38'57.6'',71¡13'52.5'',Polluelo,386,x,Copa,55,53.3,14.2,39,80.7,66.9,56.7,40,3.11,2.21,0.9,NA,NA,NA,NA,NA,NA,NA,2,07-Sep-11,2,Sweet,6.67,15.7,26.6,7.4,x,32.3,31.05,27.87,NA,Si,Si,NA,
Pantiacolla,Tinamu,floodplain,16,29,2013,Thamnophilidae,Isleria_hauxwelli,P02_AJRC13,NA,12¡39'05.5'',71¡13'58.0'',Huevo,400,NA,Copa,54.2,51.9,7.9,45.6,54.1,57,49.7,25,1.75,1.07,0.63,x,NA,NA,1A,17.1,12.7,1.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,NA,
Pantiacolla,Monk-saki,terra firme,11,126,2012,Thamnophilidae,Isleria_hauxwelli,P03_JMGP12,NA,12¡38'37.9'',71¡13'58.6'',Huevo,410,Depredado_total,Copa,58.4,54.2,11,37.4,67.9,72.2,47.4,30,3.3,1.92,0.89,0.45,x,x,1,18.9,13.6,1.65,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,x,Si,Si,
Pantiacolla,Monk-saki,terra firme,12,122,2012,Thamnophilidae,Isleria_hauxwelli,P56_MASM12,NA,12¡38'52.3'',71¡14'23.6'',Huevo,443,Abandonado,Copa,55.4,54.2,7.8,32.4,61.9,64.1,48.4,20,1.87,0.76,1.12,x,x,x,1A,20.1,13.7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,Si,Si,
Pantiacolla,Arakari,terra firme,17,54,2013,Thamnophilidae,Isleria_hauxwelli,P31_MASM13,NA,12¡39'08.0'',71¡14'11.1'',Huevo,376,Depredado_total,Copa,66.9,54.5,13.8,23.7,73,64.3,32.7,35,2.35,1.93,0.47,NA,NA,NA,1,17.8,13.7,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Si,No,
Pantiacolla,Monk-saki,terra firme,23,25,2014,Thamnophilidae,Isleria_hauxwelli,P02_IGZ14,NA, 12¡39'0.21'',71¡14'44.1'',Polluelo,456,x,Copa,54.5,52.8,10,37.1,67.5,64,39.9,30,x,x,x,x,x,x,NA,NA,NA,NA,2,10-Sep-14,2,2,8.05,15.8,27.5,2.5,1.4,37.57,37.22,x,Si,Si,Si,No,
Pantiacolla,Monk-saki,terra firme,23,55,2014,Thamnophilidae,Isleria_hauxwelli,P40_JSH14,NA,12¡38'44.9'' ,71¡14'17.3'',Polluelo,420,x,Copa,55.5,58.9,6.7,32.5,70.8,61.8,38.8,40,3.48,x,x,x,NA,NA,NA,NA,NA,NA,2,x,x,x,x,x,x,x,x,x,x,x,Si,No,No,No,
Pantiacolla,Monk-saki,terra firme,,,2013,,,P100_MASM13,,12¡38'37.8'' ,71¡13'58.1'',huevo,410,Depredado_total,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,51.025,51.275,11.575,38.85,69.3,65.725,46.1,28.75,2.46,2.065,0.765,,,,,18.16666667,12.7,1.69,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,58.14,54.92,9.86,32.62,68.22,65.28,41.44,31.66666667,2.75,1.536666667,0.826666667,,,,,18.93333333,13.66666667,1.783333333,,,,,,,,,,,,,,,,,
